CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUSQuantidade Não SUS por Município
Período:Abr/2021
"Município";"Quantidade_SUS";"Quantidade_Não_SUS"
"150375 Jacareacanga";28;-
"150380 Jacundá";79;31
"150390 Juruti";91;13
"150400 Limoeiro do Ajuru";20;-
"150405 Mãe do Rio";52;-
"150420 Marabá";283;107
"150430 Maracanã";27;-
"150440 Marapanim";18;-
"150442 Marituba";120;44
"150445 Medicilândia";41;-
"150450 Melgaço";15;-
"150460 Mocajuba";27;-
"150470 Moju";50;-
"150480 Monte Alegre";44;27
"150490 Muaná";42;-
"150495 Nova Esperança do Piriá";32;-
"150497 Nova Ipixuna";15;-
"150503 Novo Progresso";34;8
"150506 Novo Repartimento";54;-
"150510 Óbidos";63;2
"150520 Oeiras do Pará";15;-
"150530 Oriximiná";74;15
"150540 Ourém";24;-
"150543 Ourilândia do Norte";72;2
"150548 Pacajá";32;5
"150549 Palestina do Pará";20;-
"150550 Paragominas";137;75
"150553 Parauapebas";235;193
"150555 Pau D'Arco";22;-
"150563 Piçarra";27;-
"150565 Placas";39;-
"150570 Ponta de Pedras";30;-
"150580 Portel";29;-
"150590 Porto de Moz";49;-
"150600 Prainha";36;-
"150613 Redenção";166;93
"150616 Rio Maria";31;25
"150618 Rondon do Pará";94;8
"150619 Rurópolis";27;-
"150620 Salinópolis";72;-
"150630 Salvaterra";19;-
"150640 Santa Cruz do Arari";15;-
"150650 Santa Izabel do Pará";60;-
"150658 Santa Maria das Barreiras";23;-
"150660 Santa Maria do Pará";37;-
"150670 Santana do Araguaia";63;-
"150680 Santarém";509;116
"150700 Santo Antônio do Tauá";74;2
"150710 São Caetano de Odivelas";20;-
"150715 São Domingos do Araguaia";21;-
"150720 São Domingos do Capim";31;-
"150730 São Félix do Xingu";98;47
"150745 São Geraldo do Araguaia";41;-
"150747 São João de Pirabas";24;-
"150750 São João do Araguaia";19;-
"150760 São Miguel do Guamá";67;-
"150770 São Sebastião da Boa Vista";32;-
"150775 Sapucaia";14;-
"150780 Senador José Porfírio";19;-
"150790 Soure";48;-
"150795 Tailândia";40;-
"150797 Terra Santa";25;-
"150800 Tomé-Açu";156;21
"150803 Tracuateua";15;-
"150805 Trairão";21;-
"150808 Tucumã";87;12
"150810 Tucuruí";209;82
"150812 Ulianópolis";114;1
"150815 Uruará";78;3
"150820 Vigia";37;-
"150830 Viseu";65;-
"150835 Vitória do Xingu";43;-
"150840 Xinguara";87;32
"160010 Amapá";37;-
"160020 Calçoene";20;-
"160023 Ferreira Gomes";12;-
"160027 Laranjal do Jari";78;-
"160030 Macapá";840;120
"160040 Mazagão";14;-
"160050 Oiapoque";48;-
"160015 Pedra Branca do Amapari";15;-
"160053 Porto Grande";34;-
"160060 Santana";135;2
"160005 Serra do Navio";30;-
"160070 Tartarugalzinho";18;-
"160080 Vitória do Jari";8;-
"170070 Alvorada";26;-
"170100 Ananás";14;-
"170190 Araguacema";17;-
"170200 Araguaçu";27;-
"170210 Araguaína";452;139
"170220 Araguatins";25;-
"170230 Arapoema";28;-
"170240 Arraias";33;-
"170255 Augustinópolis";82;-
"170370 Brejinho de Nazaré";5;-
"170550 Colinas do Tocantins";69;-
"171670 Colméia";21;-
"170610 Cristalândia";7;-
"170700 Dianópolis";39;-
"170710 Divinópolis do Tocantins";15;-
"170720 Dois Irmãos do Tocantins";9;-
"170730 Dueré";5;9
"170765 Figueirópolis";5;-
"170820 Formoso do Araguaia";40;-
"170900 Goiatins";15;-
"170930 Guaraí";57;2
"170950 Gurupi";122;67
"171050 Itacajá";27;-
"171190 Lagoa da Confusão";30;-
"171320 Miracema do Tocantins";69;-
"171330 Miranorte";20;-
"171360 Monte do Carmo";5;-
"171420 Natividade";10;-
"172100 Palmas";608;371
"171575 Palmeirópolis";24;-
"171610 Paraíso do Tocantins";88;43
"171620 Paranã";24;-
"171650 Pedro Afonso";31;-
"171660 Peixe";27;-
"171700 Pindorama do Tocantins";6;-
"171750 Pium";5;-
"171790 Ponte Alta do Tocantins";7;-
"171820 Porto Nacional";151;-
"172065 Silvanópolis";19;-
"172090 Taguatinga";47;-
"172120 Tocantinópolis";38;-
"172210 Xambioá";28;-
"210005 Açailândia";153;90
"210010 Afonso Cunha";20;-
"210020 Alcântara";31;-
"210030 Aldeias Altas";25;-
"210043 Alto Alegre do Maranhão";48;-
"210047 Alto Alegre do Pindaré";28;-
"210050 Alto Parnaíba";42;-
"210055 Amapá do Maranhão";11;-
"210060 Amarante do Maranhão";76;9
"210070 Anajatuba";27;-
"210080 Anapurus";16;-
"210083 Apicum-Açu";15;-
"210087 Araguanã";17;-
"210090 Araioses";117;-
"210095 Arame";58;-
"210100 Arari";48;-
"210110 Axixá";25;-
"210120 Bacabal";302;21
"210125 Bacabeira";24;4
"210130 Bacuri";23;-
"210140 Balsas";237;23
"210150 Barão de Grajaú";31;-
"210160 Barra do Corda";123;30
"210170 Barreirinhas";47;5
"210177 Bela Vista do Maranhão";18;-
"210180 Benedito Leite";20;-
"210190 Bequimão";18;-
"210193 Bernardo do Mearim";15;-
"210197 Boa Vista do Gurupi";15;-
"210200 Bom Jardim";36;-
"210203 Bom Jesus das Selvas";22;-
"210210 Brejo";37;-
"210230 Buriti Bravo";44;-
"210232 Buriticupu";84;-
"210240 Cajapió";19;-
"210250 Cajari";20;-
"210255 Campestre do Maranhão";21;-
"210260 Cândido Mendes";10;-
"210270 Cantanhede";59;-
"210275 Capinzal do Norte";12;1
"210280 Carolina";30;-
"210290 Carutapera";46;-
"210300 Caxias";337;-
"210310 Cedral";15;-
"210312 Central do Maranhão";15;-
"210320 Chapadinha";135;32
"210325 Cidelândia";21;-
"210330 Codó";84;-
"210340 Coelho Neto";100;20
"210350 Colinas";103;-
"210355 Conceição do Lago-Açu";15;-
"210360 Coroatá";86;-
"210370 Cururupu";103;6
"210375 Davinópolis";14;-
"210380 Dom Pedro";29;-
"210390 Duque Bacelar";26;-
"210400 Esperantinópolis";44;-
"210405 Estreito";53;8
"210407 Feira Nova do Maranhão";42;-
"210408 Fernando Falcão";18;-
"210409 Formosa da Serra Negra";13;-
"210410 Fortaleza dos Nogueiras";31;-
"210420 Fortuna";17;-
"210440 Gonçalves Dias";29;-
"210450 Governador Archer";24;-
"210455 Governador Edison Lobão";31;-
"210460 Governador Eugênio Barros";30;-
"210462 Governador Luiz Rocha";20;-
"210465 Governador Newton Bello";19;-
"210467 Governador Nunes Freire";200;4
"210470 Graça Aranha";18;-
"210480 Grajaú";201;2
"210490 Guimarães";32;4
"210500 Humberto de Campos";30;-
"210510 Icatu";30;4
"210515 Igarapé do Meio";37;-
"210520 Igarapé Grande";37;-
"210530 Imperatriz";783;205
"210535 Itaipava do Grajaú";25;-
"210540 Itapecuru Mirim";74;-
"210542 Itinga do Maranhão";76;-
"210545 Jatobá";16;-
"210547 Jenipapo dos Vieiras";17;-
"210550 João Lisboa";60;2
"210560 Joselândia";22;-
"210565 Junco do Maranhão";3;-
"210570 Lago da Pedra";152;47
"210580 Lago do Junco";20;-
"210590 Lago Verde";45;-
"210592 Lagoa do Mato";22;-
"210596 Lagoa Grande do Maranhão";19;-
"210600 Lima Campos";38;-
"210610 Loreto";20;-
"210620 Luís Domingues";9;-
"210630 Magalhães de Almeida";20;-
"210632 Maracaçumé";11;-
"210637 Maranhãozinho";18;-
"210640 Mata Roma";23;-
"210650 Matinha";17;-
"210660 Matões";50;-
"210667 Milagres do Maranhão";9;-
"210670 Mirador";22;-
"210675 Miranda do Norte";44;8
"210680 Mirinzal";22;-
"210690 Monção";44;-
"210700 Montes Altos";24;-
"210710 Morros";20;-
"210720 Nina Rodrigues";15;-
"210725 Nova Colinas";14;-
"210730 Nova Iorque";15;-
"210735 Nova Olinda do Maranhão";60;-
"210740 Olho d'Água das Cunhãs";20;-
"210745 Olinda Nova do Maranhão";42;8
"210760 Palmeirândia";15;2
"210770 Paraibano";48;-
"210780 Parnarama";51;-
"210790 Passagem Franca";116;-
"210800 Pastos Bons";55;-
"210805 Paulino Neves";20;-
"210810 Paulo Ramos";35;4
"210820 Pedreiras";154;26
"210825 Pedro do Rosário";36;-
"210830 Penalva";63;-
"210840 Peri Mirim";27;-
"210845 Peritoró";52;4
"210850 Pindaré-Mirim";40;-
"210860 Pinheiro";240;8
"210870 Pio XII";35;-
"210880 Pirapemas";24;-
"210890 Poção de Pedras";37;-
"210900 Porto Franco";75;4
"210905 Porto Rico do Maranhão";28;-
"210910 Presidente Dutra";185;4
"210920 Presidente Juscelino";15;-
"210927 Presidente Sarney";15;-
"210930 Presidente Vargas";22;-
"210940 Primeira Cruz";19;-
"210945 Raposa";13;35
"210950 Riachão";68;-
"210955 Ribamar Fiquene";20;-
"210960 Rosário";113;10
"210970 Sambaíba";32;-
"210975 Santa Filomena do Maranhão";17;-
"210980 Santa Helena";58;-
"210990 Santa Inês";253;82
"211000 Santa Luzia";53;-
"211003 Santa Luzia do Paruá";147;-
"211010 Santa Quitéria do Maranhão";42;-
"211020 Santa Rita";35;-
"211023 Santana do Maranhão";16;-
"211027 Santo Amaro do Maranhão";20;-
"211030 Santo Antônio dos Lopes";30;-
"211040 São Benedito do Rio Preto";32;-
"211050 São Bento";67;-
"211060 São Bernardo";27;-
"211065 São Domingos do Azeitão";20;-
"211070 São Domingos do Maranhão";34;4
"211080 São Félix de Balsas";22;-
"211085 São Francisco do Brejão";24;-
"211090 São Francisco do Maranhão";23;-
"211100 São João Batista";50;-
"211102 São João do Carú";35;-
"211105 São João do Paraíso";20;-
"211107 São João do Soter";19;-
"211110 São João dos Patos";52;2
"211120 São José de Ribamar";72;153
"211125 São José dos Basílios";13;-
"211130 São Luís";3516;888
"211140 São Luís Gonzaga do Maranhão";31;-
"211150 São Mateus do Maranhão";52;-
"211153 São Pedro da Água Branca";26;-
"211157 São Pedro dos Crentes";18;-
"211160 São Raimundo das Mangabeiras";57;-
"211163 São Raimundo do Doca Bezerra";12;-
"211170 São Vicente Ferrer";56;-
"211172 Satubinha";28;-
"211174 Senador Alexandre Costa";20;-
"211178 Serrano do Maranhão";14;-
"211180 Sítio Novo";32;-
"211190 Sucupira do Norte";22;2
"211195 Sucupira do Riachão";16;-
"211200 Tasso Fragoso";18;-
"211210 Timbiras";51;-
"211220 Timon";168;5
"211223 Trizidela do Vale";29;-
"211227 Tufilândia";19;-
"211230 Tuntum";50;-
"211240 Turiaçu";52;-
"211250 Tutóia";37;15
"211260 Urbano Santos";37;-
"211270 Vargem Grande";42;-
"211280 Viana";110;-
"211285 Vila Nova dos Martírios";31;-
"211290 Vitória do Mearim";32;-
"211300 Vitorino Freire";44;4
"211400 Zé Doca";51;-
"220010 Agricolândia";15;-
"220020 Água Branca";31;-
"220025 Alagoinha do Piauí";12;-
"220030 Alto Longá";14;-
"220040 Altos";37;-
"220050 Amarante";45;-
"220060 Angical do Piauí";11;-
"220070 Anísio de Abreu";10;-
"220090 Aroazes";6;-
"220100 Arraial";4;-
"220110 Avelino Lopes";18;-
"220115 Baixa Grande do Ribeiro";11;-
"220120 Barras";70;4
"220140 Barro Duro";31;-
"220150 Batalha";23;-
"220160 Beneditinos";15;-
"220170 Bertolínia";4;-
"220180 Bocaina";21;-
"220190 Bom Jesus";50;-
"220191 Bom Princípio do Piauí";6;-
"220196 Brasileira";10;-
"220200 Buriti dos Lopes";42;-
"220202 Buriti dos Montes";16;-
"220220 Campo Maior";190;22
"220225 Canavieira";4;-
"220230 Canto do Buriti";23;-
"220240 Capitão de Campos";9;-
"220250 Caracol";11;-
"220260 Castelo do Piauí";38;-
"220270 Cocal";23;-
"220277 Colônia do Piauí";7;-
"220280 Conceição do Canindé";45;-
"220290 Corrente";68;-
"220300 Cristalândia do Piauí";13;-
"220310 Cristino Castro";21;-
"220320 Curimatá";34;-
"220330 Demerval Lobão";39;-
"220335 Dirceu Arcoverde";7;-
"220350 Elesbão Veloso";34;-
"220360 Eliseu Martins";8;-
"220370 Esperantina";55;20
"220380 Flores do Piauí";2;-
"220390 Floriano";248;15
"220400 Francinópolis";14;-
"220410 Francisco Ayres";4;-
"220420 Francisco Santos";14;-
"220430 Fronteiras";25;-
"220440 Gilbués";9;-
"220450 Guadalupe";32;-
"220470 Inhuma";11;-
"220480 Ipiranga do Piauí";19;-
"220490 Isaías Coelho";20;-
"220500 Itainópolis";21;-
"220510 Itaueira";26;-
"220520 Jaicós";31;4
"220530 Jerumenha";7;-
"220540 Joaquim Pires";17;-
"220545 Joca Marques";6;-
"220550 José de Freitas";24;-
"220553 Jurema";13;-
"220555 Lagoa Alegre";10;-
"220560 Landri Sales";8;-
"220570 Luís Correia";43;-
"220580 Luzilândia";38;-
"220585 Madeiro";7;-
"220590 Manoel Emídio";11;-
"220595 Marcolândia";68;9
"220600 Marcos Parente";11;-
"220610 Matias Olímpio";15;-
"220620 Miguel Alves";20;2
"220640 Monsenhor Gil";13;-
"220650 Monsenhor Hipólito";20;-
"220660 Monte Alegre do Piauí";25;-
"220680 Nossa Senhora dos Remédios";9;-
"220690 Novo Oriente do Piauí";8;-
"220700 Oeiras";101;12
"220720 Padre Marcos";36;-
"220730 Paes Landim";8;-
"220740 Palmeira do Piauí";12;-
"220750 Palmeirais";16;-
"220760 Parnaguá";17;-
"220770 Parnaíba";607;44
"220780 Paulistana";86;3
"220790 Pedro II";55;21
"220800 Picos";287;86
"220810 Pimenteiras";16;-
"220820 Pio IX";35;-
"220830 Piracuruca";65;-
"220840 Piripiri";99;-
"220850 Porto";17;-
"220855 Porto Alegre do Piauí";3;-
"220860 Prata do Piauí";16;-
"220870 Redenção do Gurguéia";19;-
"220880 Regeneração";29;-
"220890 Ribeiro Gonçalves";17;-
"220900 Rio Grande do Piauí";2;-
"220910 Santa Cruz do Piauí";20;1
"220920 Santa Filomena";10;-
"220937 Santa Rosa do Piauí";8;8
"220940 Santo Antônio de Lisboa";4;-
"220950 Santo Inácio do Piauí";7;-
"220960 São Félix do Piauí";20;-
"220970 São Francisco do Piauí";7;-
"220980 São Gonçalo do Piauí";12;-
"220990 São João da Serra";12;-
"221000 São João do Piauí";75;-
"221010 São José do Peixe";6;-
"221020 São José do Piauí";8;-
"221030 São Julião";29;-
"221040 São Miguel do Tapuio";26;13
"221050 São Pedro do Piauí";41;-
"221060 São Raimundo Nonato";276;-
"221070 Simões";52;-
"221080 Simplício Mendes";32;-
"221090 Socorro do Piauí";12;-
"221100 Teresina";2544;890
"221110 União";50;-
"221120 Uruçuí";37;-
"221130 Valença do Piauí";55;-
"221140 Várzea Grande";14;-
"221170 Wall Ferraz";19;-
"230010 Abaiara";1;-
"230020 Acaraú";80;3
"230030 Acopiara";102;-
"230040 Aiuaba";34;-
"230060 Altaneira";19;-
"230070 Alto Santo";33;-
"230075 Amontada";44;-
"230080 Antonina do Norte";16;-
"230090 Apuiarés";13;-
"230100 Aquiraz";40;86
"230110 Aracati";116;14
"230120 Aracoiaba";80;-
"230125 Ararendá";20;-
"230130 Araripe";42;-
"230140 Aratuba";12;-
"230150 Arneiroz";20;-
"230160 Assaré";46;-
"230170 Aurora";89;-
"230180 Baixio";19;-
"230185 Banabuiú";17;-
"230190 Barbalha";307;85
"230195 Barreira";25;-
"230200 Barro";32;-
"230205 Barroquinha";9;-
"230210 Baturité";64;2
"230220 Beberibe";23;-
"230230 Bela Cruz";32;-
"230240 Boa Viagem";66;4
"230250 Brejo Santo";216;25
"230260 Camocim";94;1
"230270 Campos Sales";49;-
"230280 Canindé";131;4
"230290 Capistrano";14;-
"230300 Caridade";21;-
"230310 Cariré";18;-
"230320 Caririaçu";30;-
"230330 Cariús";16;-
"230340 Carnaubal";16;-
"230350 Cascavel";34;-
"230360 Catarina";18;-
"230365 Catunda";23;-
"230370 Caucaia";191;80
"230380 Cedro";61;2
"230390 Chaval";23;-
"230393 Choró";16;-
"230395 Chorozinho";12;-
"230400 Coreaú";14;-
"230410 Crateús";147;24
"230420 Crato";359;64
"230423 Croatá";37;-
"230425 Cruz";56;-
"230426 Deputado Irapuan Pinheiro";12;-
"230427 Ererê";9;-
"230428 Eusébio";56;64
"230430 Farias Brito";36;-
"230435 Forquilha";8;-
"230440 Fortaleza";6091;2950
"230445 Fortim";17;-
"230450 Frecheirinha";16;-
"230460 General Sampaio";13;-
"230470 Granja";48;-
"230480 Granjeiro";25;-
"230490 Groaíras";19;-
"230495 Guaiúba";13;-
"230500 Guaraciaba do Norte";42;-
"230510 Guaramiranga";11;-
"230520 Hidrolândia";34;-
"230523 Horizonte";60;-
"230526 Ibaretama";21;-
"230530 Ibiapina";28;-
"230533 Ibicuitinga";7;-
"230535 Icapuí";16;-
"230540 Icó";54;-
"230550 Iguatu";201;31
"230560 Independência";25;-
"230565 Ipaporanga";18;-
"230570 Ipaumirim";26;-
"230580 Ipu";72;81
"230590 Ipueiras";50;7
"230600 Iracema";31;-
"230610 Irauçuba";21;-
"230620 Itaiçaba";17;-
"230625 Itaitinga";26;-
"230630 Itapagé";34;2
"230640 Itapipoca";176;14
"230650 Itapiúna";28;-
"230655 Itarema";36;-
"230670 Jaguaretama";31;-
"230680 Jaguaribara";23;-
"230690 Jaguaribe";30;-
"230700 Jaguaruana";15;-
"230710 Jardim";54;-
"230720 Jati";33;-
"230725 Jijoca de Jericoacoara";12;-
"230730 Juazeiro do Norte";476;137
"230740 Jucás";27;-
"230750 Lavras da Mangabeira";43;4
"230760 Limoeiro do Norte";298;18
"230763 Madalena";24;-
"230765 Maracanaú";304;54
"230770 Maranguape";51;78
"230780 Marco";43;-
"230790 Martinópole";9;-
"230800 Massapê";30;-
"230810 Mauriti";76;-
"230820 Meruoca";20;-
"230830 Milagres";84;3
"230835 Milhã";28;-
"230837 Miraíma";8;-
"230840 Missão Velha";71;-
"230850 Mombaça";65;-
"230860 Monsenhor Tabosa";49;-
"230870 Morada Nova";128;30
"230880 Moraújo";12;-
"230890 Morrinhos";21;-
"230900 Mucambo";40;-
"230910 Mulungu";9;-
"230920 Nova Olinda";20;-
"230930 Nova Russas";43;-
"230940 Novo Oriente";25;-
"230945 Ocara";19;-
"230950 Orós";37;-
"230960 Pacajus";38;-
"230970 Pacatuba";38;-
"230980 Pacoti";20;-
"231000 Palhano";12;-
"231010 Palmácia";16;-
"231020 Paracuru";39;2
"231025 Paraipaba";25;-
"231030 Parambu";49;-
"231040 Paramoti";28;-
"231050 Pedra Branca";51;-
"231060 Penaforte";20;-
"231070 Pentecoste";58;-
"231080 Pereiro";25;-
"231085 Pindoretama";14;-
"231090 Piquet Carneiro";32;-
"231100 Poranga";21;-
"231110 Porteiras";27;-
"231120 Potengi";18;-
"231123 Potiretama";13;-
"231126 Quiterianópolis";29;-
"231130 Quixadá";119;7
"231135 Quixelô";24;-
"231140 Quixeramobim";337;-
"231150 Quixeré";25;-
"231160 Redenção";50;-
"231170 Reriutaba";26;-
"231180 Russas";77;121
"231190 Saboeiro";37;-
"231195 Salitre";14;-
"231220 Santa Quitéria";61;-
"231200 Santana do Acaraú";40;-
"231210 Santana do Cariri";21;-
"231230 São Benedito";47;14
"231240 São Gonçalo do Amarante";24;-
"231260 São Luís do Curu";22;-
"231270 Senador Pompeu";53;-
"231290 Sobral";850;47
"231300 Solonópole";33;-
"231310 Tabuleiro do Norte";68;-
"231320 Tamboril";39;-
"231325 Tarrafas";16;-
"231330 Tauá";130;1
"231335 Tejuçuoca";16;-
"231340 Tianguá";112;-
"231350 Trairi";44;-
"231355 Tururu";13;-
"231360 Ubajara";24;-
"231370 Umari";21;-
"231375 Umirim";13;-
"231380 Uruburetama";25;-
"231390 Uruoca";16;-
"231395 Varjota";19;-
"231400 Várzea Alegre";49;2
"231410 Viçosa do Ceará";41;-
"240010 Acari";34;6
"240020 Açu";34;14
"240030 Afonso Bezerra";11;-
"240050 Alexandria";124;-
"240060 Almino Afonso";50;-
"240070 Alto do Rodrigues";21;-
"240080 Angicos";28;-
"240090 Antônio Martins";32;-
"240100 Apodi";71;-
"240110 Areia Branca";34;-
"240120 Arês";13;1
"240140 Baía Formosa";9;-
"240145 Baraúna";21;-
"240150 Barcelona";12;-
"240160 Bento Fernandes";15;-
"240170 Bom Jesus";10;-
"240180 Brejinho";14;-
"240190 Caiçara do Rio do Vento";8;-
"240200 Caicó";146;38
"240210 Campo Redondo";8;-
"240230 Caraúbas";32;-
"240240 Carnaúba dos Dantas";18;-
"240250 Carnaubais";21;-
"240260 Ceará-Mirim";65;-
"240270 Cerro Corá";24;-
"240280 Coronel Ezequiel";12;-
"240290 Coronel João Pessoa";9;-
"240300 Cruzeta";12;-
"240310 Currais Novos";102;18
"240320 Doutor Severiano";12;-
"240330 Encanto";18;-
"240340 Equador";20;-
"240360 Extremoz";16;-
"240370 Felipe Guerra";15;-
"240400 Frutuoso Gomes";6;-
"240420 Goianinha";14;-
"240430 Governador Dix-Sept Rosado";12;-
"240440 Grossos";13;-
"240450 Guamaré";44;-
"240460 Ielmo Marinho";1;-
"240485 Itajá";8;-
"240490 Itaú";15;-
"240500 Jaçanã";17;-
"240510 Jandaíra";3;-
"240520 Janduís";20;-
"240530 Januário Cicco";18;-
"240540 Japi";1;-
"240550 Jardim de Angicos";3;-
"240560 Jardim de Piranhas";25;-
"240570 Jardim do Seridó";30;2
"240580 João Câmara";34;-
"240590 João Dias";2;-
"240600 José da Penha";10;-
"240610 Jucurutu";48;-
"240620 Lagoa d'Anta";10;-
"240640 Lagoa de Velhos";8;-
